_id,lon,lat,created_at
ObjectId("5ea2ff2cd5f5c837da1a76e2"),0.1339231,52.1887751,""2020-02-28T18:30:44.796Z""
ObjectId("5ea2ff2cd5f5c837da1a76e3"),0.1340216,52.1852213,""2020-02-29T12:08:25.891Z""
ObjectId("5ea2ff2cd5f5c837da1a76e4"),0.1351153,52.1954322,""2020-02-29T11:59:29.272Z""
ObjectId("5ea2ff2cd5f5c837da1a76e5"),0.1357513,52.1859364,""2020-02-28T19:20:23.710Z""
ObjectId("5ea2ff2cd5f5c837da1a76e6"),0.1361435,52.2005863,""2020-02-28T19:02:04.773Z""
ObjectId("5ea2ff2cd5f5c837da1a76e7"),0.1374236,52.1950283,""2020-02-28T18:39:13.611Z""
ObjectId("5ea2ff2cd5f5c837da1a76e8"),0.1375317,52.1951127,""2020-02-28T23:46:16.657Z""
ObjectId("5ea2ff2cd5f5c837da1a76e9"),0.1378622,52.1850639,""2020-02-28T23:37:14.561Z""
ObjectId("5ea2ff2cd5f5c837da1a76ea"),0.2591194,51.8942104,""2020-03-01T18:38:52.243Z""
ObjectId("5ea2ff2cd5f5c837da1a76eb"),0.2593538,51.8935463,""2020-03-01T18:11:05.856Z""
ObjectId("5ea2ff2cd5f5c837da1a76ec"),0.2600337,51.8893937,""2020-03-01T17:30:16.227Z""
ObjectId("5ea2ff2cd5f5c837da1a76ed"),0.2607487,51.8899535,""2020-03-01T17:42:40.718Z""
ObjectId("5ea2ff2cd5f5c837da1a76ee"),0.2619577,51.8893456,""2020-03-01T17:22:50.343Z""
ObjectId("5ea2ff2cd5f5c837da1a76ef"),2.3598357,48.728925,""2019-12-15T10:11:02.938Z""
ObjectId("5ea2ff2cd5f5c837da1a76f0"),2.3614092,48.7266145,""2019-12-15T11:30:29.920Z""
ObjectId("5ea2ff2cd5f5c837da1a76f1"),2.3616389,48.72664,""2019-12-15T11:13:22.871Z""
ObjectId("5ea2ff2cd5f5c837da1a76f2"),2.3620633,48.7271151,""2019-12-15T10:36:09.437Z""
ObjectId("5ea2ff2cd5f5c837da1a76f3"),2.3623329,48.727289,""2019-12-15T10:41:32.367Z""
ObjectId("5ea2ff2cd5f5c837da1a76f4"),2.3623559,48.7271667,""2019-12-26T10:39:33.943Z""
ObjectId("5ea2ff2cd5f5c837da1a76f5"),2.3626725,48.7275936,""2019-12-15T10:55:38.923Z""
ObjectId("5ea2ff2cd5f5c837da1a76f6"),2.3628356,48.727016,""2019-12-26T10:33:12.571Z""
ObjectId("5ea2ff2cd5f5c837da1a76f7"),2.3632353,48.727687,""2019-12-26T10:52:53.324Z""
ObjectId("5ea2ff2cd5f5c837da1a76f8"),2.3830921,48.7705349,""2019-12-26T11:22:46.605Z""
ObjectId("5ea2ff2cd5f5c837da1a76f9"),2.4395813,48.7827179,""2019-12-26T12:24:30.230Z""
ObjectId("5ea2ff2cd5f5c837da1a76fa"),2.4405976,48.7843439,""2019-12-26T11:29:20.428Z""
ObjectId("5ea2ff2cd5f5c837da1a76fb"),2.4593752,48.8839215,""2019-12-15T09:47:32.003Z""
ObjectId("5ea2ff2cd5f5c837da1a76fc"),2.4912413,48.8495508,""2019-12-26T11:39:31.722Z""
